FECHA_HECHO,delitos_count
2016-01-02,1
2016-01-06,1
2016-01-08,1
2016-01-10,1
2016-01-11,2
2016-01-12,2
2016-01-16,1
2016-01-17,1
2016-01-26,1
2016-01-30,1
2016-02-07,1
2016-02-19,1
2016-02-26,1
2016-03-02,1
2016-03-11,1
2016-03-13,1
2016-03-14,1
2016-03-15,2
2016-03-18,1
2016-03-23,1
2016-03-27,1
2016-03-30,1
2016-04-01,1
2016-04-05,1
2016-04-09,1
2016-04-11,1
2016-04-17,1
2016-04-18,2
2016-04-28,1
2016-05-06,1
2016-05-13,1
2016-05-15,1
2016-05-18,1
2016-05-20,1
2016-05-26,1
2016-05-27,2
2016-06-01,2
2016-06-02,1
2016-06-25,1
2016-07-04,2
2016-07-05,1
2016-07-07,1
2016-07-08,1
2016-07-09,1
2016-07-29,1
2016-08-02,1
2016-08-12,1
2016-09-01,1
2016-09-02,2
2016-09-03,1
2016-09-05,1
2016-09-10,1
2016-09-20,1
2016-09-23,1
2016-10-08,1
2016-10-12,1
2016-10-14,1
2016-10-22,1
2016-10-28,1
2016-11-02,1
2016-11-07,1
2016-11-12,1
2016-11-19,1
2016-11-28,1
2016-12-07,1
2016-12-12,1
2016-12-18,1
2016-12-23,1
2016-12-27,2
2017-01-17,1
2017-01-21,1
2017-01-25,1
2017-01-28,1
2017-01-30,1
2017-02-06,1
2017-02-09,1
2017-02-12,1
2017-02-17,1
2017-03-02,1
2017-03-05,1
2017-03-31,1
2017-04-04,1
2017-04-06,1
2017-04-08,2
2017-04-22,1
2017-04-27,1
2017-04-28,1
2017-05-02,1
2017-05-09,1
2017-05-10,1
2017-05-11,1
2017-05-12,1
2017-05-18,1
2017-05-19,1
2017-05-22,2
2017-06-05,1
2017-06-08,1
2017-06-09,1
2017-06-11,1
2017-06-22,1
2017-06-23,1
2017-06-28,1
2017-07-03,1
2017-07-06,1
2017-07-09,1
2017-07-10,2
2017-07-22,1
2017-07-28,1
2017-08-02,1
2017-08-06,1
2017-08-18,1
2017-08-20,1
2017-08-27,1
2017-08-29,1
2017-09-01,1
2017-09-02,1
2017-09-07,1
2017-09-12,1
2017-09-17,1
2017-09-23,1
2017-10-17,1
2017-10-19,1
2017-10-20,1
2017-10-23,1
2017-10-25,2
2017-11-02,1
2017-11-11,1
2017-11-13,1
2017-11-15,1
2017-11-16,2
2017-11-19,1
2017-11-21,1
2017-11-25,1
2017-11-27,1
2017-11-29,1
2017-12-01,1
2017-12-05,1
2017-12-07,2
2017-12-09,1
2017-12-10,1
2017-12-30,1
2018-01-02,1
2018-01-07,1
2018-01-09,1
2018-01-10,1
2018-01-12,2
2018-01-16,1
2018-01-20,1
2018-01-23,2
2018-01-29,1
2018-02-03,1
2018-02-08,1
2018-02-14,1
2018-02-17,1
2018-02-18,1
2018-02-19,1
2018-02-21,1
2018-02-25,1
2018-03-05,1
2018-03-06,1
2018-03-08,1
2018-03-10,1
2018-03-17,1
2018-03-20,1
2018-03-28,1
2018-04-07,2
2018-04-09,2
2018-04-10,1
2018-04-12,1
2018-04-16,1
2018-04-19,1
2018-04-21,1
2018-04-24,1
2018-04-28,1
2018-05-02,1
2018-05-06,1
2018-05-15,1
2018-05-22,2
2018-05-28,2
2018-05-29,1
2018-05-30,2
2018-06-13,1
2018-07-01,2
2018-07-04,1
2018-07-06,2
2018-07-09,1
2018-07-14,1
2018-07-18,1
2018-07-28,1
2018-07-29,1
2018-07-31,2
2018-08-05,1
2018-08-13,1
2018-08-16,3
2018-08-21,1
2018-08-30,1
2018-09-02,1
2018-09-03,1
2018-09-06,1
2018-09-07,1
2018-09-09,1
2018-09-10,1
2018-09-13,1
2018-09-14,1
